,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,CLASS1
375,13.375583,3476.355,2.4656815e-10,2.358489e-12,2.1487947e-14,1.8733746,2.6391653e-14,1.5564709,0.20434332,2.7868745,1
376,7.1709127,4480.7544,1.7998919e-10,2.0356219e-12,9.268428e-15,1.9557076,1.0042659e-14,1.8071432,0.07527468,0.5208799,1
377,26.967234,1236.1757,7.29048e-10,6.1606944e-12,5.0889897e-13,2.2048795,5.62503e-13,2.067182,0.113518514,3.4745846,1
378,23.510777,1771.7241,1.4259551e-09,1.4042905e-11,4.605237e-13,2.2711096,5.1719474e-13,2.288567,0.075588755,3.5871687,1
379,103.309135,2064.887,5.089597e-09,5.0587742e-11,1.0563901e-12,1.812524,1.1865517e-12,1.6562299,0.096186526,6.785689,1
380,26.559017,885.76697,9.330355e-10,1.0578257e-11,1.6724354e-12,2.4093997,1.8140625e-12,2.3499372,0.0719955,2.6873167,2
381,29.423487,444.56415,6.428586e-10,1.1436701e-11,9.524219e-12,2.6860607,1.045667e-11,2.5983174,0.09775929,3.2923536,2
382,17.985044,7899.9976,4.695493e-10,6.122593e-12,9.865867e-15,1.7386497,1.0806413e-14,1.6893077,0.04597257,1.0740097,1
383,20.563713,628.9199,1.2094349e-09,2.0713703e-11,6.7303554e-12,2.688613,8.6562155e-12,2.6548,0.19018587,5.592872,2
384,27.626427,1111.0568,2.0585544e-09,2.5329175e-11,2.1875314e-12,2.5331647,2.7667428e-12,2.6143105,0.18549472,6.858325,2
385,52.55027,1062.681,1.5861351e-09,1.4232204e-11,1.5304169e-12,2.1716874,1.6542139e-12,2.059397,0.08536767,4.9950166,2
386,34.907345,553.41064,1.1878932e-09,1.5010973e-11,7.446638e-12,2.4857156,8.461605e-12,2.3848188,0.12187549,5.1480966,2
387,38.209976,3248.945,1.174622e-09,1.4528321e-11,1.1356917e-13,1.7294226,1.2284634e-13,1.604624,0.062447157,2.9773808,1
388,15.98739,5578.7993,2.6297592e-10,3.6012196e-12,1.1393724e-14,1.714962,1.4055703e-14,1.4405103,0.17547663,2.9560971,1
389,98.13947,2018.3262,4.5001225e-09,5.479883e-11,9.774039e-13,1.7378272,1.0217963e-12,1.6599728,0.03588295,3.8081057,1
390,21.621521,2141.426,5.5751764e-10,6.2000023e-12,1.2451692e-13,2.088657,1.3644625e-13,2.01458,0.06864155,1.777926,1
391,19.517662,1531.9559,3.8288847e-10,3.2824958e-12,1.6278943e-13,2.1214445,1.7764016e-13,1.984231,0.09445983,2.1804993,1
392,23.412285,1468.0398,7.65634e-10,5.80961e-12,3.3789993e-13,2.1057,3.897183e-13,1.8988302,0.15286049,3.8452756,1
393,40.131313,850.0899,1.1664008e-09,1.1491209e-11,1.9795949e-12,2.245064,2.113942e-12,2.1555028,0.06614942,3.4029622,2
394,36.336643,938.8886,1.1799255e-09,1.1756167e-11,1.6608252e-12,2.281863,1.7640272e-12,2.1936498,0.06861162,2.9448273,2
395,26.142519,1172.8663,2.0311322e-09,2.4413584e-11,1.8702834e-12,2.5463917,2.3532836e-12,2.615822,0.18634847,6.7476563,2
396,12.054968,850.76794,4.210296e-10,5.1100253e-12,8.8577876e-13,2.5372832,1.1392717e-12,2.5177803,0.20535614,3.4300568,2
397,9.751144,880.9632,2.6329314e-10,4.3627996e-12,5.824591e-13,2.5923903,6.3175723e-13,2.5483067,0.07358629,1.0102153,2
398,17.054016,2811.4155,5.1048593e-10,5.670941e-12,6.4872234e-14,2.0537448,7.1562026e-14,1.9862796,0.069941364,1.5309212,1
399,94.476944,1033.9956,3.946601e-09,3.5203056e-11,3.7237683e-12,2.0774848,4.0297947e-12,1.9632711,0.078538775,7.9834943,1
400,42.798534,687.1215,1.401686e-09,1.5567587e-11,4.71368e-12,2.4238167,5.4382306e-12,2.3292284,0.13592917,6.543968,2
401,40.037594,1416.1589,2.1393085e-09,1.9806615e-11,1.0981079e-12,2.1416502,1.1784265e-12,2.0521216,0.065054156,3.5137234,1
402,21.515911,1338.9369,6.8359374e-10,6.3567025e-12,4.0404025e-13,2.188685,4.3483758e-13,2.0962553,0.068402626,2.099136,1
403,24.611385,1588.863,1.4094325e-09,1.1699933e-11,5.617e-13,2.2452407,6.508633e-13,2.1450872,0.12671699,4.1508017,1
