,CLASS1,HR_25
1489,1,0.0176547621723027
1494,1,0.024105271186135
1508,1,0.027627410564149
1509,2,0.0372470340300005
1513,2,0.0485484046562682
1514,2,0.0389480197242145
1515,1,0.023741267381959
1518,1,0.0210130339134617
1523,1,0.0223335346762919
1533,1,0.0268322535602516
1535,2,0.0405346506412096
1536,2,0.0423339708182359
1538,2,0.0452596959324171
1549,1,0.0099213598806883
1551,1,0.0326773791285521
1557,2,0.0424782639017081
1563,1,0.0344878102223534
1565,2,0.0360900745440858
1568,1,0.0252585929255813
1581,1,0.0327376213390859
1589,1,0.024429118215126
1591,1,0.0204216018586143
1594,2,0.035685628404977
1610,1,0.0098563955967702
1614,1,0.0206534875242621
1621,1,0.0181475936624012
1629,1,0.0264421346047541
1633,1,0.0170665370117987
1634,1,0.0295306410497272
1637,3,0.0222541349790125
1641,1,0.029337610445762
1643,1,0.0306025872588193
1647,1,0.0180699976040719
1663,2,0.0398292749724786
1664,2,0.045614604688189
1677,1,0.0164876809226732
1684,2,0.0718307069297769
1688,2,0.0455946428210829
1690,2,0.0298709423330379
1705,2,0.0405383800350543
1711,1,0.0145441815181404
1713,1,0.0100325886039489
1720,1,0.0183448475945017
1721,1,0.0255403912873924
1722,1,0.0277034799338787
1731,1,0.0274128036333759
1736,2,0.0321419397242068
1737,2,0.0348522614996207
1744,2,0.0468296986999196
1756,2,0.0423955541680118
1760,2,0.040757637666972
1763,1,0.0273490808834693
1765,1,0.0282006828694338
1772,2,0.0450299145249405
1773,1,0.0276020642256486
1775,1,0.0301156751217906
1777,1,0.0312311934235327
1790,1,0.0203505344726999
1792,1,0.0252676605166846
1798,1,0.025694791729043
1800,1,0.0007002899702658
1803,2,0.0360876329839469
1804,1,0.0142745531671479
1805,2,0.0433808899720801
1811,1,0.0322664199537894
1817,2,0.0397639806070969
1826,2,0.0430590381855155
1828,1,0.0235505540192064
1831,1,0.0176119235275936
1832,2,0.0323314188878939
1834,1,0.0264266408934009
1838,2,0.044988099036014
1839,1,0.0293793807401188
1851,2,0.0344539855056248
1860,2,0.0427389092816021
1871,2,0.0372829830691422
1872,1,0.0195446596495439
1873,1,0.0323133731468096
1876,1,0.0103856973662011
1878,1,0.0316989117531015
1881,1,0.0197153031117932
1887,1,0.0214431072569754
1891,1,0.0203381571457224
1893,2,0.0410156484410376
1899,1,0.023840885689523
1903,1,0.026662291343399
1907,2,0.041875174851891
1920,2,0.0415860275831661
1922,2,0.0319222772302993
1923,2,0.0381431123485451
1927,1,0.0278003044060385
1934,1,0.0216854719514289
1935,1,0.0341035007190899
1941,1,0.019003094022857
1942,2,0.0602978117364612
1946,1,0.0227592767592316
1949,1,0.0336470491004623
1950,1,0.0253711581465429
1956,1,0.039791299904134
1957,2,0.0347144363498313
1963,1,0.0253063642922198
1966,1,0.0239396654345837
1972,2,0.0419372825518897
1983,1,0.0291203148518471
1991,1,0.0283865077758223
1993,1,0.028973746198117
2000,1,0.0299489746881841
2006,1,0.02685646249205
2007,1,0.0188743175045515
2016,1,0.0293768911044196
2018,1,0.0316799727186617
2019,1,0.0233204890125928
2021,1,0.025079699567789
2026,2,0.0287865282068686
2029,1,0.0186842881913987
2034,2,0.0434597810196396
2036,2,0.0481960645489332
2037,1,0.0197008348611768
2039,1,0.0262312828756719
2046,1,0.0319505531689352
2051,2,0.035681082213466
2057,2,0.0357799554032139
2060,1,0.0217419070599507
2065,1,0.0222076676444987
2067,1,0.0301014368635273
2074,1,0.0252555156792761
2079,1,0.0260691559026136
2081,1,0.0161699273441462
2083,1,0.0317022034408137
2085,2,0.0324425244288517
2089,1,0.0266772893559974
2090,1,0.020561669155993
2093,1,0.0179878220305836
2096,1,0.0154937878206025
2097,1,0.0273618157052985
2098,1,0.0296737224943021
2099,1,0.0277025157429172
2102,1,0.0233891035714958
2103,1,0.0179175033855254
2107,1,0.0299552469346786
2121,1,0.034724305784734
2127,2,0.0406758692205168
2129,1,0.0295056005277247
2131,1,0.0257336146773965
2136,1,0.0058769126955646
2142,1,0.0148158626342078
2147,1,0.0344286074657381
2158,2,0.0490677241367779
2161,1,0.0371822165428612
2164,1,0.0317424932302461
2169,2,0.0435279944198414
2171,1,0.0292736393299946
2175,1,0.0317371352041341
2194,1,0.0220370718016493
2195,2,0.0472922686850981
2202,1,0.0136551704915193
2203,2,0.0627023365137977
2205,1,0.0127871335440109
2213,1,0.0256704694013663
2216,1,0.0271351512286076
2224,1,0.0223538508909704
2226,1,0.0205663306201264
2228,1,0.0322833875390575
2233,1,0.0208977190797461
2237,1,0.0206477731177241
2240,1,0.025815356229853
2244,1,0.0315284719059163
2246,2,0.0381978814372223
2253,1,0.0302097527341753
2258,2,0.038193004653169
2269,1,0.0202777707317565
2271,1,0.0326492881403323
2276,2,0.0525698232796887
2280,1,0.0265140085664838
2281,1,0.0268844878963527
2285,1,0.0508242274572442
2287,2,0.0377284040494744
2288,1,0.0190811339598314
2308,1,0.0236520781791362
2311,1,0.026739525394502
2323,2,0.0282190621339695
2326,1,0.0171055127248881
2331,1,0.0238916869034549
2339,1,0.0169414363912354
2341,2,0.0441346394207173
2342,1,0.0270035141641277
2343,2,0.0404248335508907
2344,1,0.0218540962329523
2348,1,0.0235181882672244
