,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
491,7.0,0.3294287,0.0260990712062751,3.8267248,1659.1887,0.0197262603761322,0.0993159788777265,4.262853e-14,0.0578184725624785,0.0867973067383585,0.0797459514153725,0.14739619,0.0452239648195197
494,7.0,0.0,-0.0648154705827497,5.0905275,6807.342,0.0062688733280061,0.116311251919677,2.7524283e-15,0.0187853779877116,0.1134936258297122,0.1101226734934235,0.45613056,0.0159309145343206
497,7.0,0.09407584,0.0160981442703579,6.9360294,1898.369,0.0205156906900189,0.0993204174121765,4.245284e-14,0.0846769915422287,0.0929264430723203,0.0789656292173878,0.1417077,0.0782662241646231
500,7.0,0.0,0.0204978950622484,7.4399223,1435.9401,0.0247745816250481,0.0627287679980049,1.3945637e-13,0.066721114126273,0.0481702026632392,0.0380132619844823,0.44878384,0.0521692533717361
501,7.0,0.0,0.0175489851310174,5.3717523,6583.6997,0.0145476286136056,0.0220386779046307,1.9157888e-15,0.0173226075485891,0.0134138252970785,0.0074934517703535,0.058578406,0.0086965041673473
506,7.0,1.357078,0.0208819012817392,17.206453,1095.4982,0.027053367578902,0.0944661997030604,4.060898e-13,0.0859804667130579,0.0851441497285994,0.0675855557184621,0.13692547,0.0766447592264713
511,7.0,0.20632432,0.0057835464673408,4.6097827,2501.853,0.0265774255297846,0.1110836475128324,3.9780296e-14,0.0704525326066808,0.1057298457836573,0.0847564499223178,0.8839309,0.0650599354807366
514,7.0,0.8515328,0.0163423397159456,4.6409903,1172.605,0.0223520995454846,0.0836655640305963,8.710365e-14,0.0723659889129424,0.0774880004586889,0.0614283416893002,0.062563024,0.0661778919589634
521,7.0,0.0,-0.0508184138916543,5.4972353,7397.415,0.0081833643588742,0.0942790111474232,2.2464235e-15,0.0162220262338454,0.0889257201386411,0.0861621225462215,0.5039849,0.0108244226459332
523,7.0,0.0,0.0248983466834484,4.5800667,1410.536,0.0355502774355722,0.1022230647893461,6.942099e-14,0.0226573665380294,0.0883028133484965,0.0669159638685815,0.1246713,0.0086130595036381
530,7.0,0.0,0.0138194562859374,7.5371757,3997.3413,0.0247444107211744,0.02691526530405,1.1564757e-14,0.0190569596565882,0.0217163592948026,0.0021723013407372,0.016309042,0.0138563867305463
534,7.0,0.42869905,0.011276052877496,4.6231766,2751.1936,0.0249462658565701,0.0942526042241725,1.9819839e-14,0.0358025720478291,0.0830376277787506,0.069469678986628,0.21103652,0.0245090476863662
537,7.0,0.5100199,0.0066830842410609,3.8793015,2985.4172,0.0169320781326233,0.0959457301285659,1.08525605e-14,0.0753625371223314,0.0905564667404228,0.07914222333369,0.89283496,0.0699546997053179
538,7.0,0.0,0.0152705735518495,5.9842877,4762.936,0.0131361137238617,0.0254519713432453,5.021455e-15,0.0221459002545293,0.0155613090406765,0.0123199766802644,0.035255346,0.0122540041962622
541,7.0,0.55484813,0.0212301747389935,28.407797,701.72205,0.0253738015483588,0.1154502158383947,2.6620236e-12,0.1170974805817985,0.1048648960719205,0.0903410603738867,0.064964555,0.1065160834869491
543,7.0,0.0,0.0695008626520597,4.183924,543.08887,0.0293682225125023,0.1061180300999728,7.9921735e-13,0.0958259137007021,0.0515214776350057,0.0769897459706929,0.6473415,0.0411456692319494
549,7.0,0.0,-0.0295895495120306,6.4115415,4231.6147,0.0130107134630362,0.0908625221125522,8.131845e-15,0.0224999948414212,0.0869652944936137,0.0779439529181263,0.40796497,0.0185733681198873
550,7.0,0.4154264,0.0121101228239658,13.17191,2880.6477,0.017738987363114,0.0330660647008851,3.0537476e-14,0.0219526883046641,0.0250152889194059,0.0153360728417124,0.044457175,0.0138977060142457
554,7.0,0.28968486,0.0345751785417542,5.0936165,1582.17,0.0150745051365425,0.0823173311204417,4.7944318e-14,0.0821705209073902,0.0599921828265751,0.0673263708082243,0.0046792445,0.0598449034894498
555,7.0,0.77907145,0.0198399084892504,24.985565,1126.6694,0.018705449816826,0.1036922660813077,5.505984e-13,0.0723059995511364,0.0939377901362401,0.0851519779332376,0.06908518,0.0625000897007131
556,7.0,0.0,0.0173727262048852,8.6232605,2134.8064,0.0201296326488541,0.0933138585722624,5.8502465e-14,0.0800997761727818,0.0808925824071112,0.0733219519491501,0.19088705,0.0676518477037079
557,7.0,0.6361102,0.0197225593443904,3.6787324,1737.7478,0.0303080811120857,0.0938788697373072,5.256006e-14,0.0803339367420607,0.0817894213767904,0.0637521819689702,0.60514754,0.0682177089284932
563,7.0,2.1619914,0.0286744427342611,3.1118293,2319.2327,0.0264562325327723,0.0975095463937135,5.1741465e-14,0.0911441189408288,0.0822656450022261,0.0712370866833943,0.76665395,0.0758832310540268
566,7.0,0.0,0.0106510810831384,7.72532,2901.4927,0.0166142421841275,0.0898059811183332,2.5214008e-14,0.0382821241529043,0.0832479736702791,0.0733011084629444,0.18542755,0.0316827326499835
567,7.0,0.0,0.0194919389151383,6.0356503,1844.7925,0.0157264844144487,0.1094293885516841,3.9570662e-14,0.0853732724996985,0.0972204018916561,0.0938644391651429,0.17041557,0.0731100240950951
573,7.0,0.21713693,0.0097550870580017,9.48626,2440.9124,0.0205295709558375,0.088897665657809,3.3560255e-14,0.0248589231858334,0.0792178237914279,0.0684930967223188,0.12224132,0.0151140924071096
576,7.0,0.31957278,0.0260317526494774,8.875112,1116.7347,0.0212716226835004,0.0910409357109447,1.9356202e-13,0.076501768460727,0.0756212167483568,0.0699046896408288,0.08559046,0.0610476678024067
580,7.0,0.660115,0.0147273907279194,9.576104,6629.6587,0.008649818568728,0.025725812489729,3.3647844e-15,0.0196576852215818,0.0199008646236835,0.0170797945785583,0.09661661,0.0138313382217494
582,7.0,0.5610125,0.0271808681343951,8.524279,626.50867,0.0551893856702106,0.0743949020483405,1.0190209e-12,0.0307760645404069,0.0624563943204633,0.0192846956539712,0.19701362,0.0187887619343744
584,7.0,0.5373488,0.0126360495153715,7.2833734,2347.723,0.0189495372993768,0.0570183214836814,2.7951862e-14,0.0771688495107338,0.0485977239589192,0.0381099608845993,0.5538857,0.0687696652433634
585,7.0,0.0,0.0186757803087217,3.8933392,13700.308,0.0016774618823577,0.0115089419629387,4.0992903e-16,0.0096604291782216,0.0105537118284984,0.0098316698889461,0.1637943,0.0087051633458931
586,7.0,0.0,0.0268376792314879,6.906089,1070.1447,0.0711080251207302,0.068089031336489,2.1157526e-13,0.0700633833250253,0.0530261355332154,-0.0030336818907137,0.6235332,0.0550041652973327
587,7.0,0.2330536,0.03342742113535,6.6190248,483.7039,0.0303325186015378,0.0995576153410841,1.3302694e-12,0.0591383708689199,0.0807209703762238,0.0694347781892941,0.15964198,0.0401942588202684
590,7.0,0.0,0.0055371591280286,8.910876,11243.522,0.0017576562461341,0.010071599238526,1.6231098e-15,0.0068531984246284,0.0196519253337507,0.0083140901718191,-0.008538799,0.0164343418691732
591,7.0,0.577308,0.0063537510784672,5.063249,3791.3423,0.0266783138943251,0.0741999392442754,9.544544e-15,0.0252441941557729,0.0644144975098525,0.0476158823828487,0.07354919,0.0154155841142952
592,7.0,0.44568017,0.0136447240014538,15.088087,2432.39,0.0168397968145973,0.1091451865770996,7.07561e-14,0.0336356447297144,0.1018840760323351,0.0924753578764895,0.15861264,0.0262993768915103
