,Signif_Avg,PL_Flux_Density,LP_SigCurv,PLEC_IndexS,PLEC_SigCurv,Npred,Variability_Index,ASSOC_PROB_BAY,Flux_Band_1,Flux_Band_5,CLASS1
90,4.3986087,4.7658163e-14,1.4907973,2.1830847,1.4723033,329.34235,9.175086,0.8732807,1.9755845848123954e-09,1.0784955827708442e-12,1
91,91.17019,2.2852163e-12,4.9304543,1.8242232,5.6597,4398.897,51.534687,0.9997211,1.3762944561790393e-08,2.4083202099234313e-10,1
92,15.483045,2.9402858e-14,1.4766484,1.8110778,1.6322606,425.43277,18.882774,0.9989422,9.857501481747022e-10,1.2906494449571591e-11,1
93,15.22335,5.7270244e-15,0.88153785,1.5573387,1.2358121,279.55826,20.380726,0.99964225,2.003464755206963e-11,3.0677859558236875e-11,1
94,24.63712,5.1963428e-14,1.4683468,1.7876732,1.3291143,706.47015,27.616013,0.99783605,6.232634850930618e-13,3.8873456537080735e-11,1
95,28.198174,8.080382e-13,3.08744,1.9992653,3.8433745,1222.0367,86.811005,0.9983353,4.43765113544714e-09,2.118881285706476e-11,1
96,13.1522255,9.625481e-13,2.4265518,2.3746493,2.4061732,903.44946,150.07376,0.99382585,6.3814353801205925e-09,3.913946857586614e-12,2
97,6.4977074,1.4706848e-14,0.0,2.0574667,0.0,277.27945,10.414379,0.9890442,5.425163651651133e-10,1.0137254750908207e-11,1
98,25.454832,6.215018e-13,3.1456966,2.0105336,3.1797535,1104.1409,17.870256,0.9977634,4.709622913878775e-09,3.104195026026879e-11,1
99,17.10013,5.382872e-14,1.968429,1.7916384,2.162468,537.0489,110.62913,0.9753461,1.898240897801884e-09,3.986135727052087e-11,1
100,10.988258,3.460667e-14,2.5789466,1.6644063,2.7983634,227.05807,12.928696,0.9959434,3.563523920391276e-10,1.9623672478652487e-11,1
101,20.428009,2.9592698e-12,3.0536175,2.3474638,2.5378747,1541.2767,128.10902,0.9443297,9.262794975484212e-09,8.207930862758062e-12,2
102,38.43588,9.1369444e-14,4.2623134,1.6731578,4.1615033,1378.084,100.07071,0.99997514,2.4753680008537948e-11,1.4031446837758918e-10,1
103,65.05709,5.847009e-12,6.0765038,2.2220266,6.0130334,4957.5664,319.64038,0.99981946,2.6071612424516388e-08,5.6322810998432615e-11,2
104,9.965991,2.1400135e-14,2.355441,1.5955733,2.3843498,151.53139,12.832776,0.9969701,6.447733319481229e-11,1.5993281352044697e-11,2
105,14.5246,8.304824e-14,0.32467198,2.0993476,0.0,621.594,13.217302,0.9905101,3.036862983307742e-09,9.40820511774465e-12,1
106,59.269447,5.8277693e-12,6.334234,2.230034,6.335019,4466.211,1452.8839,0.99924606,2.04931573932754e-08,3.4817988769919594e-11,2
107,30.855371,1.633281e-13,3.9669085,1.7178859,3.9988186,921.42255,19.53391,0.99905556,4.73783323684529e-09,7.688540776262798e-11,1
108,104.148834,6.8008793e-13,9.303134,1.512652,10.341098,4186.005,59.87486,0.9999405,5.1640993703472304e-09,6.166187560552314e-10,1
109,70.62777,7.1967298e-12,7.514568,2.1852264,7.8683276,6416.8975,2130.6106,0.99953294,3.2895684398681624e-08,6.154205617336928e-11,2
110,38.22627,1.1492617e-11,4.1372094,2.4398632,3.9568117,3004.4597,605.7924,0.99965173,1.8488393038751383e-08,5.924125773271172e-12,2
111,40.553074,1.3205241e-13,0.7260894,1.9338042,0.4640837,2329.8228,66.34927,0.9970141,4.504177919528729e-09,1.1348519346476847e-10,1
112,15.999188,4.0113817e-14,0.0,1.93408,0.0,599.0778,35.495018,0.99879026,4.984513246597544e-09,2.672229278133376e-11,1
113,16.476215,1.3191173e-13,1.8246545,2.0856,1.4461038,780.4397,21.665348,0.0,3.59086316237267e-10,1.7633873528044575e-11,1
114,7.608292,8.274429e-15,1.5089884,1.5100585,1.8501316,190.64702,18.315048,0.9983388,1.046627895462393e-09,2.171694074570852e-11,1
115,87.57336,6.7484846e-12,6.5359683,2.033826,6.195238,5725.263,1005.25885,0.9998986,2.409022847871256e-08,1.5482422288659592e-10,1
116,6.682879,3.2263604e-14,0.70477885,2.0873148,0.70167774,276.2202,25.795322,0.99835116,2.603188109517873e-09,9.36831688613804e-12,1
117,9.924049,3.954082e-13,0.31239817,2.417251,0.0,706.5183,37.48525,0.9774895,3.352425892444444e-09,2.645017668431726e-12,2
118,45.684544,3.1688508e-13,2.1910532,1.7513578,2.7433689,1495.6891,89.6632,0.99995816,4.192241664924268e-09,8.521144206907749e-11,1
119,111.308716,8.450383e-12,10.7261095,2.0144877,10.650265,9081.758,407.45334,0.99968964,3.916111879220807e-08,2.064099585696865e-10,1
120,21.65224,1.977004e-13,2.588848,1.9581228,1.757089,753.1253,49.959583,0.99797994,1.910268165872253e-09,1.5024828603493745e-11,1
121,15.893586,1.0111779e-13,2.7042274,1.8372376,2.6246111,448.4693,8.580789,0.9990828,6.981072941947273e-10,2.1557994972498665e-11,1
122,23.2941,3.8772804e-14,2.852895,1.6319901,3.072174,577.79834,24.776337,0.9993813,8.236367452863284e-14,6.181744699462755e-11,1
123,15.044248,2.3087164e-12,2.667842,2.4781787,2.339082,1365.27,89.49646,0.99872625,1.0250361448527201e-08,3.58211442279266e-12,2
124,27.619675,1.2868921e-13,0.10255247,1.9659762,0.13944776,1090.7772,56.52889,0.9998783,2.8255446871128242e-09,4.768991104797671e-11,1
125,40.257175,5.473468e-13,3.4203513,1.8059814,4.568534,1600.1389,86.650566,0.99931836,5.24637933096983e-09,1.1565916280265043e-10,1
126,17.4538,3.803168e-13,3.6059086,2.0400965,3.1601803,831.56854,40.5245,0.997203,3.687657068596195e-09,1.066795610182858e-11,1
127,20.273046,1.1899342e-13,0.5474223,2.0243711,1.3004091,867.4545,63.57914,0.9992317,3.2749711831314703e-09,2.8832361845254617e-11,1
128,27.273413,7.9077e-14,2.2881436,1.6618499,2.1869988,592.2002,48.187836,0.9997793,1.375745961595953e-09,4.44674227995101e-11,1
129,18.699427,9.158731e-13,4.0764604,2.2480054,4.1034074,1150.057,185.0917,0.99936646,5.512214240610547e-09,2.104162981006464e-12,2
130,29.376339,7.551702e-13,2.2483466,2.0471344,1.9056959,1390.465,56.85029,0.9998677,4.814157517074591e-09,2.915617400289783e-11,1
131,34.934772,3.0562564e-13,2.6733766,1.8302326,3.1879842,1356.5193,83.31417,0.9994977,5.815262049679859e-09,1.1212745315569703e-10,1
132,23.387638,3.1780392e-13,2.2428799,1.9379836,1.8578309,808.6505,49.448368,0.99960667,1.678263195081797e-09,3.252465310965569e-11,1
133,13.557986,2.0269077e-14,2.5420048,1.5943881,2.4597142,201.11986,19.44796,0.0,3.112180381025648e-13,2.4196337641835264e-11,1
134,10.458513,9.301069e-15,2.7463953,1.4932328,2.781942,136.41406,13.0269,0.9990536,9.251314714298076e-10,2.524698332340148e-11,1
135,11.189045,2.8052178e-13,0.82569647,2.2947288,0.9566664,821.1238,48.053455,0.98236567,6.9171508521037595e-09,1.950262000505188e-12,2
136,13.015724,5.612936e-14,1.4881554,2.1572251,1.5487667,1088.332,31.694105,0.9998857,5.9059725998622525e-09,2.298097129260768e-11,1
137,47.1223,2.7222673e-12,5.068129,2.1725566,5.0929904,3528.4304,987.9812,0.9999254,1.4134346137950617e-08,3.4448815328103066e-11,1
138,8.08378,7.3809104e-15,1.7837015,1.462205,1.9750144,180.50092,17.371351,0.99766684,1.4294143646509383e-09,1.1856433369816788e-11,1
139,69.58533,1.8141044e-11,7.306156,2.3823237,7.574742,6576.4136,2332.2065,0.9978531,4.2328341720576645e-08,1.307596218802498e-11,2
140,30.561274,5.993124e-12,3.90873,2.5376332,3.3397496,3431.4307,609.4377,0.99823815,2.8007889341097325e-08,4.425716737532781e-12,2
141,33.263733,2.5171978e-12,2.9508307,2.26999,3.289435,2262.3752,351.29117,0.99940276,1.1998252169576062e-08,1.7431585688787443e-11,2
142,10.807272,4.2749075e-13,1.4589705,2.3805034,0.98496836,772.8074,12.055233,0.9886415,2.6911031181242606e-09,7.0549612159187536e-12,1
143,10.998882,1.0208135e-13,0.5340119,2.1001363,0.85319114,504.96393,10.809345,0.99720234,3.381300128779685e-09,7.223922415117157e-12,1
144,12.302172,1.2988846e-14,1.8917208,1.6769613,2.1252258,343.48163,12.40731,0.999654,1.7219627945763703e-09,2.601623604048253e-11,1
145,15.144321,1.4615694e-14,0.6853114,1.7506572,0.73395175,427.673,22.935108,0.99963146,1.518464465277702e-09,3.1068189687566417e-11,1
146,74.383995,6.645792e-13,2.5322423,1.7487158,3.7788372,2914.555,174.37737,0.9999335,9.15004694235222e-09,2.1712839859411304e-10,1
147,14.313315,1.1092761e-13,3.2083085,2.0257876,3.0416198,865.3429,193.66753,0.9998146,1.5919728868496463e-09,1.5322243474003017e-11,1
148,190.3643,4.659631e-11,15.884665,2.1931,15.754631,20541.658,13148.978,1.0,1.120079957672715e-07,1.5770085237676312e-10,2
149,108.473495,7.499261e-12,5.696654,2.022282,5.656682,8479.912,605.79675,1.0,4.1188361166177856e-08,3.121088942847905e-10,1
150,20.299698,2.0408106e-13,2.61024,1.9614196,1.7465789,797.52094,55.29113,0.9991728,7.500776111335481e-10,2.8877121180381767e-11,1
151,11.924552,1.1769498e-14,1.0403942,1.8298764,0.0,328.23547,16.250702,0.9996975,3.8119254419655135e-09,2.0334492770168744e-11,1
152,32.310226,2.4537607e-13,4.218294,1.7798572,4.146172,1073.283,39.757004,0.99946296,2.517392960754705e-09,5.680931072782336e-11,1
153,16.832548,8.3976066e-13,3.0027406,2.1765084,3.0402958,928.3056,11.627283,0.99877167,5.4095581347723964e-09,6.094935320333228e-12,2
154,46.64856,3.4954875e-12,2.9235227,2.1939397,3.267255,3547.2756,92.56534,0.9997461,2.3760662770655472e-08,6.09603131862535e-11,1
155,88.283325,9.345597e-12,6.5890584,2.0839758,7.0879455,6495.831,1165.3175,0.9992299,3.3660899845244785e-08,1.3606463178383876e-10,2
156,15.464209,4.559098e-14,0.0,1.9653305,0.6863053,581.63446,34.65888,0.99949193,3.2470979238752307e-09,3.4603993281923096e-11,1
157,129.47285,1.37730435e-11,7.282531,2.2476857,6.3591013,14516.053,3609.4695,1.0,8.626324188298896e-08,1.9084359093035627e-10,2
158,9.151814,2.232579e-14,3.0205154,1.6963497,3.1067023,185.00963,31.575607,0.99666756,1.1208357375905309e-13,1.1382619673205864e-11,1
159,186.9741,7.592571e-12,7.410885,1.9066595,7.750358,16199.641,1811.1335,1.0,5.8542653391668864e-08,8.577822896427276e-10,1
160,14.314509,2.7115962e-14,1.6261237,1.9755981,1.6552261,788.7215,17.695337,0.9991872,4.61933202799969e-09,2.548837703397755e-11,1
161,15.263435,2.5746732e-14,2.7208912,1.4608644,3.3191803,205.31548,21.160627,0.99899405,4.103072603900415e-10,3.7503573163677466e-11,1
162,12.184264,6.5682885e-14,0.41337433,2.1478422,0.0,643.83234,23.954512,0.9916354,2.3176676133829233e-09,1.8933448558966504e-11,1
163,8.340703,7.197812e-13,0.73964167,2.6819355,0.4263346,1048.1351,40.716404,0.98704475,7.983517846810173e-09,1.8303717916334783e-12,2
164,25.575588,1.07234405e-13,1.758958,1.8622038,1.8265239,870.8493,19.318827,0.99935246,3.42965211785895e-09,5.411836603852471e-11,1
165,82.76316,3.14171e-12,12.434816,2.1380177,12.692028,8470.134,2747.8228,0.9676698,3.055177444366564e-08,9.851078980327443e-11,2
166,13.145168,4.360468e-13,3.8832989,2.52772,3.4808886,1539.0114,47.46702,0.99802667,8.130293771557717e-09,1.0476264820924452e-11,2
167,34.653217,3.0190238e-12,4.883448,2.2971106,4.7643905,2602.565,399.2535,0.9993566,1.5387911389552755e-08,1.0239046589755052e-11,2
168,17.05085,7.825888e-14,1.385657,2.0182343,0.4971482,712.31024,22.130606,0.99840784,8.783024307845722e-10,1.6606542529995494e-11,1
169,48.60506,1.3953139e-11,4.368182,2.4255476,4.4090734,4102.001,1837.7914,0.9984415,2.2983387637509626e-08,1.0404674517794366e-11,2
170,16.3935,2.0951266e-12,0.9655562,2.6195595,0.0,1690.8663,297.13977,0.99842775,1.6540949943077976e-08,4.302390475136031e-12,2
171,15.277015,8.489496e-15,0.13208503,1.705882,0.0,337.07346,8.941196,0.9981899,1.1072054731386947e-11,2.8730599496706862e-11,1
